,serial_number,manufacturer,model,dt,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized,smart_9_normalized,smart_193_normalized,smart_194_normalized,smart_241_normalized,smart_242_normalized,faulty
104,disk_118319,A,1,20170712,100.0,100.0,100.0,100.0,100.0,69.0,100.0,30.0,0.0,0.0,1
105,disk_118319,A,1,20170711,100.0,100.0,100.0,100.0,100.0,70.0,100.0,30.0,0.0,0.0,1
106,disk_118319,A,1,20170713,100.0,100.0,100.0,100.0,100.0,69.0,100.0,31.0,0.0,0.0,1
107,disk_118319,A,1,20170709,100.0,100.0,100.0,100.0,100.0,70.0,100.0,30.0,0.0,0.0,1
108,disk_118319,A,1,20170710,100.0,100.0,100.0,100.0,100.0,70.0,100.0,30.0,0.0,0.0,1
155,disk_136557,A,1,20170712,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
156,disk_136557,A,1,20170714,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
157,disk_136557,A,1,20170709,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
158,disk_136557,A,1,20170711,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
159,disk_136557,A,1,20170722,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
160,disk_136557,A,1,20170720,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
161,disk_136557,A,1,20170719,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
162,disk_136557,A,1,20170717,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
163,disk_136557,A,1,20170718,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
164,disk_136557,A,1,20170715,100.0,100.0,100.0,100.0,100.0,78.0,100.0,33.0,0.0,0.0,1
165,disk_136557,A,1,20170721,100.0,100.0,100.0,100.0,100.0,78.0,100.0,32.0,0.0,0.0,1
358,disk_30546,A,1,20170717,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
359,disk_30546,A,1,20170715,89.0,1.0,100.0,97.0,97.0,78.0,100.0,26.0,0.0,0.0,1
360,disk_30546,A,1,20170713,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
361,disk_30546,A,1,20170720,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
362,disk_30546,A,1,20170718,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
363,disk_30546,A,1,20170722,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
364,disk_30546,A,1,20170714,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
365,disk_30546,A,1,20170712,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
366,disk_30546,A,1,20170719,89.0,1.0,100.0,97.0,97.0,78.0,100.0,26.0,0.0,0.0,1
367,disk_30546,A,1,20170710,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
368,disk_30546,A,1,20170711,89.0,1.0,100.0,97.0,97.0,78.0,100.0,26.0,0.0,0.0,1
369,disk_30546,A,1,20170721,89.0,1.0,100.0,97.0,97.0,78.0,100.0,25.0,0.0,0.0,1
370,disk_30546,A,1,20170709,89.0,1.0,100.0,97.0,97.0,79.0,100.0,25.0,0.0,0.0,1
