,serial_number,manufacturer,model,smart_5_normalized,smart_9_normalized,smart_187_normalized,smart_188_normalized,smart_193_normalized,smart_194_normalized,smart_197_normalized,smart_198_normalized,smart_241_normalized,smart_242_normalized,dt,faulty
0,disk_73921,A,1,100.0,87.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170711,1
1,disk_69703,A,1,100.0,81.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170731,0
2,disk_70778,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170723,0
3,disk_104879,A,1,100.0,79.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170714,1
4,disk_69449,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170719,0
5,disk_11565,A,1,100.0,88.0,100.0,100.0,99.0,27.0,100.0,100.0,0.0,0.0,20170722,1
6,disk_70705,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170725,0
7,disk_30546,A,1,89.0,78.0,1.0,100.0,100.0,25.0,97.0,97.0,0.0,0.0,20170717,1
8,disk_69893,A,1,100.0,93.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170719,0
9,disk_136557,A,1,100.0,78.0,100.0,100.0,100.0,32.0,100.0,100.0,0.0,0.0,20170709,1
10,disk_7069,A,1,100.0,88.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170712,0
11,disk_37623,A,1,100.0,70.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170723,1
12,disk_69573,A,1,100.0,82.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170719,0
13,disk_70780,A,1,100.0,82.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170711,0
14,disk_119023,A,2,100.0,87.0,91.0,100.0,100.0,28.0,100.0,100.0,100.0,100.0,20170725,1
15,disk_61196,A,1,100.0,78.0,100.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170725,1
16,disk_142501,A,1,43.0,80.0,82.0,100.0,100.0,30.0,100.0,100.0,0.0,0.0,20170714,1
17,disk_69515,A,1,100.0,82.0,100.0,100.0,100.0,27.0,100.0,100.0,0.0,0.0,20170729,0
18,disk_70490,A,1,100.0,81.0,100.0,100.0,100.0,33.0,100.0,100.0,0.0,0.0,20170712,0
19,disk_146958,A,1,100.0,80.0,100.0,100.0,100.0,24.0,94.0,94.0,0.0,0.0,20170711,1
20,disk_69980,A,1,100.0,81.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170723,0
21,disk_70582,A,1,100.0,82.0,100.0,100.0,100.0,31.0,100.0,100.0,0.0,0.0,20170709,0
22,disk_70021,A,1,100.0,82.0,100.0,100.0,100.0,28.0,100.0,100.0,0.0,0.0,20170712,0
23,disk_69413,A,1,100.0,81.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170731,0
24,disk_6993,A,1,100.0,88.0,100.0,100.0,100.0,26.0,100.0,100.0,0.0,0.0,20170721,0
25,disk_70523,A,1,100.0,82.0,100.0,100.0,100.0,29.0,100.0,100.0,0.0,0.0,20170718,0
26,disk_69227,A,1,100.0,82.0,100.0,100.0,100.0,34.0,100.0,100.0,0.0,0.0,20170709,0
